Student summary,Attendance date,Course,Reason
A,10-04-22,Chemistry,"Illness - All Day (LS, MS, US)"
A,10-06-22,Chemistry,"Other (LS, MS, US)"
A,11-10-22,Chemistry,"Illness - All Day (LS, MS, US)"
A,11-15-22,Chemistry,"Other (LS, MS, US)"
A,9-26-22,Civics: Understanding Our Rights,Absent
A,10-04-22,Civics: Understanding Our Rights,"Illness - All Day (LS, MS, US)"
A,11-10-22,Civics: Understanding Our Rights,"Illness - All Day (LS, MS, US)"
A,9-07-22,English 10,Absent
A,10-04-22,French II,"Illness - All Day (LS, MS, US)"
A,11-10-22,French II,"Illness - All Day (LS, MS, US)"
A,11-15-22,French II,School Trip - Full Day
AAA,9-19-22,Astronomy,"Other (LS, MS, US)"
AAA,9-29-22,Astronomy,"Illness - Left Early (MS, US)"
AAA,9-19-22,Dramatic Literature,"Late Arrival (LS, MS, US)"
AAA,9-29-22,Dramatic Literature,"Illness - Left Early (MS, US)"
AAA,11-18-22,Dramatic Literature,"Unknown Reason (LS, MS, US)"
AAA,9-21-22,French IV,"Other (LS, MS, US)"
AAA,10-07-22,French IV,"Other (LS, MS, US)"
AAA,10-28-22,French IV,Absent
AAA,11-14-22,French IV,"Other (LS, MS, US)"
AAA,10-25-22,How Do We See,"Other (LS, MS, US)"
AAA,11-15-22,How Do We See,"Other (LS, MS, US)"
AAA,9-30-22,Math Analysis,Absent
AAAA,9-14-22,Advanced Algebra,Sports  Dismissal- Half Class Period
AAAA,9-30-22,Advanced Algebra,Sports  Dismissal- Half Class Period
AAAA,10-13-22,Advanced Algebra,"Late Arrival (LS, MS, US)"
AAAA,9-19-22,Astronomy,"Other (LS, MS, US)"
AAAA,9-23-22,Astronomy,"Medical Appt. - PM (MS, US)"
AAAA,10-12-22,Astronomy,"Other (LS, MS, US)"
AAAA,9-09-22,Computer Art,"Medical Appt. - PM (MS, US)"
AAAA,9-19-22,Computer Art,"Other (LS, MS, US)"
AAAA,10-12-22,Computer Art,"Other (LS, MS, US)"
AAAA,9-19-22,The Graphic Novel,"Other (LS, MS, US)"
AAAA,10-12-22,The Graphic Novel,"Other (LS, MS, US)"
AAAA,9-28-22,US History,Sports Dismissal- Full Class Period
AAAA,10-04-22,US History,"Medical Appt. - AM (MS, US)"
AAAAA,9-09-22,Advanced Biology,Sports  Dismissal- Half Class Period
AAAAA,9-27-22,Advanced Biology,"Other (LS, MS, US)"
AAAAA,10-07-22,Advanced Biology,"Medical Appt. - All Day (MS, US)"
AAAAA,10-12-22,Advanced Biology,"Other (LS, MS, US)"
AAAAA,11-14-22,Advanced Biology,"Illness - Left Early (MS, US)"
AAAAA,9-30-22,Ecological Literature,"Other (LS, MS, US)"
AAAAA,10-31-22,Ecological Literature,"Medical Appt. - AM (MS, US)"
AAAAA,9-09-22,French IV,School Trip - Full Day
AAAAA,9-21-22,French IV,"Late Arrival (LS, MS, US)"
AAAAA,10-12-22,French IV,"Other (LS, MS, US)"
AAAAA,9-08-22,Math Analysis,"Medical Appt. - AM (MS, US)"
AAAAA,9-12-22,Math Analysis,"Illness - Left Early (MS, US)"
AAAAA,10-04-22,Math Analysis,"Other (LS, MS, US)"
AAAAA,10-25-22,Math Analysis,"Medical Appt. - PM (MS, US)"
AAAAA,10-27-22,Math Analysis,"Other (LS, MS, US)"
AAAAA,11-02-22,Math Analysis,"Medical Appt. - PM (MS, US)"
AAAAA,10-27-22,US History,"Other (LS, MS, US)"
AAAAA,9-09-22,Yoga,School Trip - Full Day
AAAAA,9-15-22,Yoga,"Late Arrival (LS, MS, US)"
AAAAA,9-27-22,Yoga,"Other (LS, MS, US)"
AAAAA,10-05-22,Yoga,"Illness - Left Early (MS, US)"
AAAAA,10-12-22,Yoga,"Other (LS, MS, US)"
AAAAA,10-28-22,Yoga,"Other (LS, MS, US)"
AAAAAA,9-16-22,English 9,"Family Trip (LS, MS, US)"
AAAAAA,10-13-22,English 9,"Illness - All Day (LS, MS, US)"
AAAAAA,9-16-22,Historical Inquiry,"Family Trip (LS, MS, US)"
AAAAAA,10-13-22,Historical Inquiry,"Illness - All Day (LS, MS, US)"
AAAAAA,9-16-22,Tykoe Yearbook,"Family Trip (LS, MS, US)"
AAAAAA,10-13-22,Tykoe Yearbook,"Illness - All Day (LS, MS, US)"
AAAAAAA,9-09-22,Black and White Photography,School Trip - Full Day
AAAAAAA,10-17-22,Black and White Photography,Sports  Dismissal- Half Class Period
AAAAAAA,9-09-22,English 9,School Trip - Full Day
AAAAAAA,9-09-22,Historical Inquiry,Sports  Dismissal- Half Class Period
AAAAAAAA,9-16-22,Advanced Algebra,"Family Trip (LS, MS, US)"
AAAAAAAA,11-17-22,Advanced Algebra,"Late Arrival (LS, MS, US)"
AAAAAAAA,9-19-22,Chemistry,"Late Arrival (LS, MS, US)"
AAAAAAAA,11-16-22,Chemistry,"Illness - All Day (LS, MS, US)"
AAAAAAAA,11-16-22,Computer Art,"Illness - All Day (LS, MS, US)"
AAAAAAAA,11-18-22,Computer Art,"Late Arrival (LS, MS, US)"
AAAAAAAA,11-16-22,English 10,"Illness - All Day (LS, MS, US)"
AAAAAAAA,9-16-22,Japanese History and Culture,"Family Trip (LS, MS, US)"
AAAAAAAA,10-06-22,Japanese History and Culture,"Illness - Left Early (MS, US)"
AAAAAAAA,9-16-22,Spanish II,"Family Trip (LS, MS, US)"
AAAAAAAA,10-06-22,Spanish II,"Illness - Left Early (MS, US)"
AAAAAAAA,11-02-22,Spanish II,"Late Arrival (LS, MS, US)"
AAAAAAAAA,10-04-22,Biology,"Family Trip (LS, MS, US)"
AAAAAAAAA,10-06-22,Biology,"Family Trip (LS, MS, US)"
AAAAAAAAA,10-04-22,English 9,"Family Trip (LS, MS, US)"
AAAAAAAAA,10-06-22,English 9,"Family Trip (LS, MS, US)"
AAAAAAAAA,9-09-22,Geometry,School Trip - Full Day
AAAAAAAAA,10-03-22,Geometry,"Family Trip (LS, MS, US)"
AAAAAAAAA,10-05-22,Geometry,"Family Trip (LS, MS, US)"
AAAAAAAAA,10-07-22,Geometry,"Family Trip (LS, MS, US)"
AAAAAAAAA,10-04-22,Historical Inquiry,"Family Trip (LS, MS, US)"
AAAAAAAAA,10-06-22,Historical Inquiry,"Family Trip (LS, MS, US)"
AAAAAAAAA,9-09-22,Spanish II,Sports  Dismissal- Half Class Period
AAAAAAAAA,10-03-22,Spanish II,"Family Trip (LS, MS, US)"
AAAAAAAAA,10-05-22,Spanish II,"Family Trip (LS, MS, US)"
AAAAAAAAA,10-07-22,Spanish II,"Family Trip (LS, MS, US)"
AAAAAAAAA,9-09-22,Stage Makeup,School Trip - Full Day
AAAAAAAAA,10-05-22,Stage Makeup,"Family Trip (LS, MS, US)"
AAAAAAAAA,10-07-22,Stage Makeup,"Family Trip (LS, MS, US)"
AAAAAAAAAA,9-22-22,Advanced Calculus,"Other (LS, MS, US)"
AAAAAAAAAA,9-26-22,Advanced Calculus,"Other (LS, MS, US)"
AAAAAAAAAA,11-04-22,Advanced Calculus,School Trip - Full Day
AAAAAAAAAA,9-22-22,How Do We See,"Other (LS, MS, US)"
AAAAAAAAAA,9-26-22,How Do We See,"Other (LS, MS, US)"
AAAAAAAAAA,11-04-22,How Do We See,School Trip - Full Day
AAAAAAAAAA,11-17-22,How Do We See,"Medical Appt. - AM (MS, US)"
